player_name,player_height,player_weight
Freddie Gillespie,205.74,111.13004
Georges Niang,200.66,104.32616
George King,198.12,99.79024
George Hill,193.04,85.275296
Gary Trent Jr.,195.58,94.800728
Gary Payton II,190.5,88.45044
Gary Harris,193.04,95.25432
Garrison Mathews,195.58,97.52228
Georgios Kalaitzakis,200.66,87.089664
Garrett Temple,195.58,88.45044
Gabriel Lundberg,193.04,92.079176
Gabe York,190.5,86.18248
Gabe Vincent,190.5,90.7184
Furkan Korkmaz,200.66,91.625584
Gary Clark,198.12,102.0582
Gabriel Deck,198.12,104.779752
Hassan Whiteside,213.36,120.20188
Goga Bitadze,213.36,113.398
Immanuel Quickley,190.5,86.18248
Ignas Brazdeikis,198.12,100.243832
Herbert Jones,200.66,93.439952
Haywood Highsmith,193.04,99.79024
Hassani Gravett,187.96,84.821704
Harrison Barnes,203.2,102.0582
Giannis Antetokounmpo,210.82,109.769264
Hamidou Diallo,195.58,91.625584
Greg Brown III,200.66,93.439952
Grayson Allen,193.04,89.811216
Grant Williams,198.12,107.047712
Gorgui Dieng,208.28,112.490816
Gordon Hayward,200.66,102.0582
Goran Dragic,190.5,86.18248
Greg Monroe,208.28,113.398
Fred VanVleet,185.42,89.357624
Dorian Finney-Smith,200.66,99.79024
Frank Ntilikina,193.04,90.7184
Duncan Robinson,200.66,97.52228
Duane Washington Jr.,190.5,89.357624
Drew Eubanks,205.74,111.13004
Draymond Green,198.12,104.32616
Doug McDermott,200.66,102.0582
Donte DiVincenzo,193.04,92.079176
Donovan Mitchell,185.42,97.52228
Domantas Sabonis,210.82,108.86208
Dillon Brooks,200.66,102.0582
Didi Louzada,195.58,85.275296
Dewayne Dedmon,213.36,111.13004
Devonte' Graham,185.42,88.45044
Devontae Cacok,200.66,108.86208
Devon Dotson,185.42,83.91452
Isaac Bonga,203.2,81.64656
Dwight Howard,208.28,120.20188
Franz Wagner,208.28,99.79024
Dwight Powell,208.28,108.86208
Ed Davis,205.74,98.883056
Frank Kaminsky,213.36,108.86208
Frank Jackson,190.5,92.98636
Feron Hunt,203.2,88.45044
Facundo Campazzo,177.8,88.45044
Evan Mobley,210.82,97.52228
Evan Fournier,198.12,92.98636
Eugene Omoruyi,198.12,106.59412
Eric Paschall,198.12,115.66596
Eric Gordon,190.5,97.52228
Eric Bledsoe,185.42,97.068688
Enes Freedom,208.28,113.398
Emmanuel Mudiay,190.5,90.7184
Emanuel Terry,205.74,99.79024
Elijah Hughes,195.58,97.52228
Elfrid Payton,190.5,88.45044
Dylan Windler,198.12,88.904032
Isaac Okoro,195.58,102.0582
Jeff Green,203.2,106.59412
Isaiah Jackson,208.28,92.98636
Jayson Tatum,203.2,95.25432
Jaysean Paige,187.96,90.7184
Jaylen Nowell,193.04,91.171992
Jaylen Morris,195.58,83.91452
Jaylen Hoard,203.2,97.975872
Jaylen Brown,198.12,101.151016
Jay Scrubb,195.58,99.79024
Jay Huff,215.9,108.86208
Jaxson Hayes,210.82,99.79024
Javonte Smart,193.04,92.98636
Javonte Green,195.58,92.98636
Javin DeLaurier,208.28,106.140528
Jarron Cumberland,195.58,92.98636
Jarrett Culver,198.12,88.45044
Jarrett Allen,208.28,110.222856
Jeff Dowtin,190.5,80.285784
Jarred Vanderbilt,205.74,97.068688
Devin Vassell,195.58,90.7184
Jerami Grant,203.2,95.25432
Jon Teske,215.9,120.20188
John Konchar,195.58,95.25432
John Collins,205.74,102.511792
Joel Embiid,213.36,127.00576
Joel Ayayi,193.04,81.64656
Joe Wieskamp,198.12,92.98636
Joe Johnson,200.66,108.86208
Joe Ingles,203.2,99.79024
Joe Harris,198.12,99.79024
Jock Landale,210.82,115.66596
Jimmy Butler,200.66,104.32616
Jevon Carter,185.42,90.7184
Jericho Sims,205.74,113.398
Jeremy Lamb,195.58,81.64656
Jeremiah Robinson-Earl,203.2,109.769264
Jemerrio Jones,195.58,79.3786
Isaiah Hartenstein,213.36,113.398
Jaren Jackson Jr.,210.82,109.769264
Jared Butler,190.5,87.543256
Jabari Parker,200.66,111.13004
JaVale McGee,213.36,122.46984
JaQuori McLaughlin,193.04,86.18248
JaMychal Green,203.2,102.965384
Ja Morant,190.5,78.925008
JT Thor,205.74,92.079176
Ivica Zubac,213.36,108.86208
Ish Wainright,195.58,113.398
Ish Smith,182.88,79.3786
Isaiah Todd,205.74,99.336648
Isaiah Thomas,175.26,83.91452
Isaiah Stewart,203.2,113.398
Isaiah Roby,203.2,104.32616
Isaiah Livers,198.12,105.233344
Isaiah Joe,193.04,74.84268
Jaden McDaniels,205.74,83.91452
Jared Harper,177.8,79.3786
Jaden Springer,193.04,91.625584
Jae'Sean Tate,193.04,104.32616
Jamorko Pickett,205.74,93.439952
James Johnson,200.66,108.86208
James Harden,195.58,99.79024
James Ennis III,198.12,97.52228
James Bouknight,193.04,86.18248
Jalen Suggs,195.58,92.98636
Jalen Smith,208.28,97.52228
Jalen McDaniels,205.74,92.98636
Jalen Johnson,203.2,99.336648
Jalen Green,193.04,84.368112
Jalen Brunson,185.42,86.18248
Jakob Poeltl,215.9,111.13004
Jake Layman,203.2,94.800728
Jaime Echenique,208.28,117.026736
Jahmi'us Ramsey,190.5,86.18248
Jae Crowder,198.12,106.59412
Devin Cannady,187.96,83.007336
Cody Zeller,210.82,108.86208
Desmond Bane,195.58,97.52228
Braxton Key,203.2,102.0582
Brandon Williams,187.96,86.18248
Brandon Knight,187.96,82.553744
Brandon Ingram,203.2,86.18248
Brandon Goodwin,182.88,81.64656
Brandon Clarke,203.2,97.52228
Brandon Boston,198.12,85.275296
Bradley Beal,193.04,93.893544
Brad Wanamaker,190.5,95.25432
Bones Hyland,187.96,76.657048
Bol Bol,218.44,99.79024
Bojan Bogdanovic,200.66,102.511792
Bogdan Bogdanovic,198.12,102.0582
Bobby Portis,208.28,113.398
Boban Marjanovic,220.98,131.54168
Brodric Thomas,195.58,83.91452
Blake Griffin,205.74,113.398
Brook Lopez,213.36,127.912944
Bruno Fernando,205.74,108.86208
Carlik Jones,182.88,78.925008
Caris LeVert,198.12,92.98636
Cameron Payne,185.42,83.007336
Cameron Oliver,203.2,108.408488
Cameron McGriff,200.66,99.79024
Cameron Johnson,203.2,95.25432
Cam Thomas,190.5,95.25432
Cam Reddish,203.2,98.429464
Caleb Martin,195.58,92.98636
Cade Cunningham,198.12,99.79024
CJ Miles,198.12,99.79024
CJ McCollum,190.5,86.18248
CJ Elleby,198.12,90.7184
Buddy Hield,193.04,99.79024
Bryn Forbes,187.96,92.98636
Bruce Brown,193.04,91.625584
Carmelo Anthony,200.66,107.954896
Bismack Biyombo,203.2,115.66596
Bam Adebayo,205.74,115.66596
Alex Len,213.36,113.398
Alex Caruso,195.58,84.368112
Alekesej Pokusevski,213.36,86.18248
Aleem Ford,203.2,99.79024
Alec Burks,198.12,97.068688
Al Horford,205.74,108.86208
Ahmad Caver,187.96,78.925008
Admiral Schofield,195.58,109.315672
Ade Murkey,195.58,90.7184
Abdel Nader,195.58,102.0582
Aaron Wiggins,193.04,86.18248
Aaron Nesmith,195.58,97.52228
Aaron Holiday,182.88,83.91452
Aaron Henry,195.58,95.25432
Aaron Gordon,203.2,106.59412
Alfonzo McKinnie,200.66,97.52228
Ben McLemore,190.5,88.45044
Alize Johnson,203.2,96.161504
Amir Coffey,200.66,95.25432
BJ Johnson,198.12,90.7184
Ayo Dosunmu,193.04,90.7184
Avery Bradley,190.5,81.64656
Austin Rivers,193.04,90.7184
Austin Reaves,195.58,89.357624
Arnoldas Kulboka,208.28,94.800728
Armoni Brooks,190.5,88.45044
Anthony Lamb,198.12,102.965384
Anthony Gill,200.66,104.32616
Anthony Edwards,193.04,102.0582
Anthony Davis,208.28,114.758776
Anfernee Simons,190.5,82.100152
Andrew Wiggins,200.66,89.357624
Andre Iguodala,198.12,97.52228
Andre Drummond,208.28,126.552168
Alperen Sengun,208.28,110.222856
Carsen Edwards,180.34,90.7184
Cassius Stanley,195.58,86.18248
Cassius Winston,185.42,83.91452
De'Anthony Melton,187.96,90.7184
De'Andre Hunter,203.2,100.243832
De'Aaron Fox,190.5,83.91452
Day'Ron Sharpe,205.74,120.20188
Davon Reed,195.58,93.439952
Davis Bertans,208.28,102.0582
Davion Mitchell,182.88,91.625584
David Nwaba,195.58,99.336648
David Johnson,193.04,92.079176
David Duke Jr.,193.04,92.532768
Darren Collison,182.88,72.57472
Darius Garland,185.42,87.089664
Darius Bazley,203.2,94.347136
Danuel House Jr.,198.12,99.79024
Danny Green,198.12,97.52228
DeAndre Jordan,210.82,120.20188
Danilo Gallinari,208.28,107.047712
DeAndre' Bembry,195.58,95.25432
DeMar DeRozan,198.12,99.79024
Derrick White,193.04,86.18248
Derrick Walton Jr.,182.88,83.91452
Derrick Rose,187.96,90.7184
Derrick Jones Jr.,198.12,95.25432
Derrick Favors,205.74,120.20188
Denzel Valentine,193.04,99.79024
Dennis Smith Jr.,187.96,92.98636
Dennis Schroder,185.42,78.017824
Deni Avdija,205.74,95.25432
Delon Wright,195.58,83.91452
Dejounte Murray,193.04,81.64656
Deividas Sirvydis,203.2,86.18248
Deandre Ayton,210.82,113.398
Dean Wade,205.74,103.418976
DeMarcus Cousins,208.28,122.46984
DeJon Jarreau,195.58,83.91452
Daniel Theis,205.74,111.13004
Daniel Oturu,203.2,108.86208
Daniel Gafford,205.74,106.140528
Chuma Okeke,198.12,103.872568
Christian Wood,205.74,97.068688
Chris Silva,203.2,106.140528
Chris Paul,182.88,79.3786
Chris Duarte,195.58,86.18248
Chris Chiozza,180.34,79.3786
Chris Boucher,205.74,90.7184
Chimezie Metu,205.74,102.0582
Cheick Diallo,203.2,99.336648
Chaundee Brown Jr.,195.58,97.52228
Charlie Brown Jr.,198.12,90.264808
Charles Bassey,205.74,104.32616
Chandler Hutchison,198.12,95.25432
Cedi Osman,200.66,104.32616
Cat Barber,185.42,78.471416
Clint Capela,208.28,116.119552
Coby White,193.04,88.45044
Cody Martin,198.12,92.98636
Jonas Valanciunas,210.82,120.20188
Damyean Dotson,195.58,95.25432
Damion Lee,195.58,95.25432
Damian Lillard,187.96,88.45044
Damian Jones,210.82,111.13004
Dalano Banton,200.66,92.532768
Dakota Mathias,193.04,90.7184
Daishen Nix,193.04,102.511792
Devin Booker,195.58,93.439952
DaQuan Jeffries,195.58,100.697424
D.J. Augustin,180.34,83.007336
D'Angelo Russell,193.04,87.543256
Craig Sword,190.5,88.904032
Cory Joseph,190.5,90.7184
Corey Kispert,198.12,101.604608
Collin Sexton,185.42,86.18248
Cole Anthony,190.5,83.91452
D.J. Wilson,208.28,104.779752
Jonathan Kuminga,200.66,102.0582
Klay Thompson,198.12,99.79024
Jordan Clarkson,193.04,87.996848
Santi Aldama,210.82,97.52228
Sandro Mamukelashvili,205.74,108.86208
Sam Merrill,193.04,92.98636
Sam Hauser,200.66,98.429464
Sam Dekker,203.2,99.336648
Saddiq Bey,200.66,97.52228
Saben Lee,187.96,83.007336
Ryan Arcidiacono,190.5,88.45044
Russell Westbrook,190.5,90.7184
Rui Hachimura,203.2,104.32616
Rudy Gobert,215.9,117.026736
Rudy Gay,203.2,113.398
Royce O'Neale,195.58,102.511792
Romeo Langford,195.58,97.975872
Rodney McGruder,193.04,92.98636
Scottie Barnes,200.66,102.0582
Rodney Hood,203.2,94.347136
Scottie Lewis,195.58,83.91452
Sekou Doumbouya,205.74,104.32616
Zylan Cheatham,195.58,99.79024
Sterling Brown,195.58,99.336648
Stephen Curry,187.96,83.91452
Stanley Johnson,198.12,109.769264
Spencer Dinwiddie,198.12,97.52228
Solomon Hill,198.12,102.511792
Skylar Mays,193.04,92.98636
Sharife Cooper,185.42,79.832192
Shaquille Harrison,193.04,88.45044
Shaq Buchanan,190.5,86.18248
Shake Milton,195.58,92.98636
Shai Gilgeous-Alexander,198.12,81.64656
Seth Curry,187.96,83.91452
Serge Ibaka,208.28,106.59412
Semi Ojeleye,198.12,108.86208
Scotty Hopson,200.66,92.532768
Ziaire Williams,205.74,83.91452
Robin Lopez,213.36,127.459352
Robert Williams III,205.74,107.501304
Paul Reed,205.74,95.25432
Paul Millsap,200.66,116.573144
Paul George,203.2,99.79024
Patty Mills,182.88,81.64656
Patrick Williams,200.66,97.52228
Patrick Beverley,185.42,81.64656
Pat Connaughton,195.58,94.800728
Pascal Siakam,203.2,104.32616
Paris Bass,203.2,90.7184
P.J. Washington,200.66,104.32616
P.J. Tucker,195.58,111.13004
P.J. Dozier,198.12,92.98636
Otto Porter Jr.,203.2,89.811216
Oshae Brissett,200.66,95.25432
Onyeka Okongwu,203.2,108.86208
Paul Watson,198.12,95.25432
Robert Woodard II,198.12,106.59412
Payton Pritchard,185.42,88.45044
Precious Achiuwa,203.2,102.0582
Robert Covington,200.66,94.800728
Rob Edwards,195.58,92.98636
Ricky Rubio,187.96,86.18248
Richaun Holmes,208.28,106.59412
Reggie Perry,203.2,113.398
Reggie Jackson,187.96,94.347136
Reggie Bullock,198.12,92.98636
Rayjon Tucker,190.5,94.800728
Raul Neto,187.96,81.64656
Rajon Rondo,185.42,81.64656
RJ Nembhard Jr.,193.04,90.7184
RJ Barrett,198.12,97.068688
R.J. Hampton,193.04,79.3786
Quinndary Weatherspoon,190.5,92.98636
Quentin Grimes,193.04,95.25432
Petr Cornelie,210.82,99.79024
Omer Yurtseven,210.82,124.7378
Zeke Nnaji,205.74,108.86208
Zach LaVine,195.58,90.7184
Timothe Luwawu-Cabarrot,200.66,97.52228
Tobias Harris,200.66,102.511792
Tomas Satoransky,200.66,95.25432
Tony Bradley,208.28,112.490816
Tony Snell,198.12,96.615096
Torrey Craig,200.66,100.243832
Trae Young,185.42,74.389088
Trayvon Palmer,198.12,90.7184
Tre Jones,185.42,83.91452
Tre Mann,190.5,80.739376
Tremont Waters,177.8,79.3786
Trendon Watford,203.2,107.501304
Trent Forrest,193.04,95.25432
Trevelin Queen,198.12,86.18248
Trevon Scott,203.2,102.0582
Tim Hardaway Jr.,195.58,92.98636
Trevor Ariza,203.2,97.52228
Tim Frazier,182.88,77.11064
Theo Pinson,195.58,96.161504
Steven Adams,210.82,120.20188
Svi Mykhailiuk,200.66,92.98636
T.J. McConnell,185.42,86.18248
Tacko Fall,228.6,141.067112
Taj Gibson,205.74,105.233344
Talen Horton-Tucker,193.04,106.140528
Taurean Prince,198.12,98.883056
Terance Mann,195.58,97.52228
Terence Davis,193.04,91.171992
Terrence Ross,198.12,93.439952
Terry Rozier,185.42,86.18248
Terry Taylor,195.58,104.32616
Thaddeus Young,203.2,106.59412
Thanasis Antetokounmpo,198.12,99.336648
Theo Maledon,193.04,79.3786
Thomas Bryant,208.28,112.490816
Zavier Simpson,182.88,86.18248
Trey Burke,182.88,83.91452
Trey Murphy III,203.2,93.439952
Wayne Ellington,193.04,93.893544
Wayne Selden,193.04,105.233344
Wendell Carter Jr.,208.28,122.46984
Wenyen Gabriel,205.74,92.98636
Wes Iwundu,198.12,88.45044
Wesley Matthews,193.04,99.79024
Will Barton,195.58,82.100152
Willie Cauley-Stein,213.36,108.86208
Willy Hernangomez,210.82,113.398
Xavier Moon,187.96,74.84268
Xavier Sneed,195.58,97.52228
Xavier Tillman Sr.,203.2,111.13004
Yuta Watanabe,205.74,97.52228
Yves Pons,195.58,93.439952
Zach Collins,210.82,113.398
Vlatko Cancar,203.2,107.047712
Trey Lyles,205.74,106.140528
Vit Krejci,203.2,88.45044
Vernon Carey Jr.,205.74,122.46984
Tristan Thompson,205.74,115.212368
Troy Brown Jr.,198.12,97.52228
Ty Jerome,195.58,88.45044
Tyler Cook,203.2,115.66596
Tyler Hall,195.58,94.800728
Tyler Herro,195.58,88.45044
Tyler Johnson,190.5,84.368112
Tyrell Terry,187.96,72.57472
Tyrese Haliburton,195.58,83.91452
Tyrese Maxey,187.96,90.7184
Tyrone Wallace,195.58,89.811216
Tyus Jones,182.88,88.904032
Udoka Azubuike,213.36,122.46984
Udonis Haslem,203.2,106.59412
Usman Garuba,203.2,103.872568
Victor Oladipo,193.04,96.615096
Jordan Bell,200.66,97.975872
Olivier Sarr,213.36,108.86208
OG Anunoby,200.66,105.233344
Killian Hayes,195.58,88.45044
Khris Middleton,200.66,100.697424
Khem Birch,205.74,105.686936
Kevon Looney,205.74,100.697424
Kevin Porter Jr.,193.04,92.079176
Kevin Pangos,185.42,81.192968
Kevin Love,203.2,113.851592
Kevin Knox II,200.66,97.52228
Kevin Huerter,200.66,89.811216
Kevin Durant,208.28,108.86208
Kessler Edwards,200.66,92.079176
Keon Johnson,193.04,83.91452
Kenyon Martin Jr.,195.58,97.52228
Kentavious Caldwell-Pope,195.58,92.532768
Kent Bazemore,193.04,88.45044
Killian Tillie,205.74,99.79024
Kenrich Williams,198.12,95.25432
Kira Lewis Jr.,185.42,77.11064
Kristaps Porzingis,220.98,108.86208
Leandro Bolmaro,198.12,90.7184
LeBron James,205.74,113.398
Lauri Markkanen,210.82,108.86208
Larry Nance Jr.,200.66,111.13004
Langston Galloway,185.42,90.7184
Landry Shamet,193.04,86.18248
Lance Stephenson,195.58,95.25432
Lamar Stevens,198.12,104.32616
LaMelo Ball,200.66,81.64656
LaMarcus Aldridge,210.82,113.398
Kyrie Irving,187.96,88.45044
Kyle Lowry,182.88,88.904032
Kyle Kuzma,205.74,100.243832
Kyle Guy,185.42,75.749864
Kyle Anderson,205.74,104.32616
Kris Dunn,190.5,92.98636
Lindell Wigginton,185.42,85.728888
Kemba Walker,182.88,83.460928
Kelly Olynyk,210.82,108.86208
Jrue Holiday,190.5,92.98636
Joshua Primo,193.04,85.728888
Josh Richardson,195.58,90.7184
Josh Okogie,193.04,96.615096
Josh Jackson,203.2,93.893544
Josh Hart,195.58,97.52228
Josh Green,195.58,90.7184
Josh Giddey,203.2,92.98636
Josh Christopher,190.5,97.52228
Jose Alvarado,182.88,81.192968
Jordan Schakel,198.12,90.7184
Jordan Poole,193.04,87.996848
Jordan Nwora,203.2,102.0582
Jordan McLaughlin,180.34,83.91452
Jordan Goodwin,190.5,90.7184
Juan Toscano-Anderson,198.12,94.800728
Kelly Oubre Jr.,198.12,92.079176
Juancho Hernangomez,205.74,97.068688
Justin Anderson,195.58,104.779752
Keljin Blevins,193.04,90.7184
Keldon Johnson,198.12,99.79024
Kelan Martin,195.58,104.32616
Keita Bates-Diop,203.2,103.872568
Keifer Sykes,180.34,75.749864
Karl-Anthony Towns,210.82,112.490816
Kai Jones,208.28,100.243832
KZ Okpala,203.2,97.52228
Juwan Morgan,200.66,105.233344
Jusuf Nurkic,210.82,131.54168
Justise Winslow,198.12,100.697424
Justin Robinson,185.42,88.45044
Justin Jackson,203.2,99.79024
Justin Holiday,198.12,81.64656
Justin Champagnie,198.12,93.439952
Julius Randle,203.2,113.398
Obi Toppin,205.74,99.79024
Lindy Waters III,198.12,97.52228
Lonzo Ball,198.12,86.18248
Mychal Mulder,190.5,88.45044
Moses Wright,203.2,102.511792
Moses Moody,195.58,95.707912
Moses Brown,218.44,111.13004
Moritz Wagner,210.82,111.13004
Montrezl Harrell,200.66,108.86208
Monte Morris,187.96,83.007336
Mo Bamba,213.36,104.779752
Miye Oni,195.58,93.439952
Mitchell Robinson,213.36,108.86208
Miles McBride,185.42,88.45044
Miles Bridges,200.66,102.0582
Mike Muscala,208.28,108.86208
Mike Conley,185.42,79.3786
Mikal Bridges,198.12,94.800728
Myles Powell,187.96,88.45044
Michael Porter Jr.,208.28,98.883056
Myles Turner,210.82,113.398
Nassir Little,195.58,99.79024
Norvel Pelle,208.28,104.779752
Norman Powell,190.5,97.52228
Nikola Vucevic,208.28,117.93392
Nikola Jokic,210.82,128.820128
Nik Stauskas,198.12,93.893544
Nicolas Batum,203.2,104.32616
Nickeil Alexander-Walker,195.58,92.98636
Nick Richards,213.36,111.13004
Nic Claxton,210.82,97.52228
Nerlens Noel,210.82,99.79024
Nemanja Bjelica,205.74,106.140528
Neemias Queta,213.36,112.490816
Naz Reid,205.74,119.748288
Nathan Knight,208.28,114.758776
Nate Hinton,195.58,95.25432
Naji Marshall,200.66,99.79024
Lonnie Walker IV,193.04,92.532768
Melvin Frazier Jr.,195.58,97.52228
Maxi Kleber,208.28,108.86208
Malik Monk,190.5,90.7184
Malik Fitts,195.58,104.32616
Malik Beasley,193.04,84.821704
Malcolm Hill,198.12,99.79024
Malcolm Brogdon,195.58,103.872568
Malachi Flynn,185.42,79.3786
Mac McClung,187.96,83.91452
M.J. Walker,195.58,96.615096
Luke Kornet,218.44,113.398
Luke Kennard,195.58,93.439952
Luka Garza,208.28,110.222856
Luka Doncic,200.66,104.32616
Luguentz Dort,190.5,97.52228
Louis King,200.66,92.98636
Lou Williams,187.96,79.3786
Malik Newman,190.5,86.18248
McKinley Wright IV,180.34,87.089664
Mamadi Diakite,205.74,103.418976
Marcus Morris Sr.,203.2,98.883056
Max Strus,195.58,97.52228
Maurice Harkless,200.66,99.79024
Matt Thomas,190.5,86.18248
Matt Ryan,200.66,97.52228
Matt Mooney,187.96,90.264808
Matisse Thybulle,195.58,91.171992
Mason Plumlee,210.82,115.212368
Mason Jones,193.04,90.7184
Marvin Bagley III,210.82,106.59412
Marquese Chriss,205.74,108.86208
Markus Howard,177.8,79.3786
Marko Simonovic,210.82,99.79024
Markieff Morris,205.74,111.13004
Markelle Fultz,193.04,94.800728
Marcus Smart,193.04,99.79024
Marcus Garrett,195.58,92.98636
Micah Potter,208.28,112.490816
Luka Samanic,208.28,102.965384
Khyri Thomas,190.5,95.25432
Kostas Antetokounmpo,208.28,90.7184
Mike James,185.42,79.3786
